Datetime,Temperature (Â°C),Humidity (%),Wind Speed (m/s),Weather Description
2025-03-21 06:00:00,8.9,79,1.1,Clear Sky
2025-03-21 09:00:00,7.74,82,0.62,Scattered Clouds
2025-03-21 12:00:00,6.15,87,0.46,Broken Clouds
2025-03-21 15:00:00,5.87,82,0.62,Overcast Clouds
2025-03-21 18:00:00,11.94,54,2.09,Overcast Clouds
2025-03-21 21:00:00,15.62,52,3,Overcast Clouds
2025-03-22 00:00:00,13.26,66,2.77,Overcast Clouds
2025-03-22 03:00:00,8.66,87,1.27,Overcast Clouds
2025-03-22 06:00:00,7.06,93,0.81,Broken Clouds
2025-03-22 09:00:00,6.59,95,0.63,Broken Clouds
2025-03-22 12:00:00,6.34,96,0.69,Broken Clouds
2025-03-22 15:00:00,7.32,95,0.59,Overcast Clouds
2025-03-22 18:00:00,13.74,69,2.16,Overcast Clouds
2025-03-22 21:00:00,15.62,61,3.09,Overcast Clouds
2025-03-23 00:00:00,13.59,71,2.69,Overcast Clouds
2025-03-23 03:00:00,8.83,93,1.32,Broken Clouds
2025-03-23 06:00:00,8.1,98,1,Scattered Clouds
2025-03-23 09:00:00,8.29,96,0.46,Scattered Clouds
2025-03-23 12:00:00,7.11,98,0.47,Scattered Clouds
2025-03-23 15:00:00,8.46,94,0.66,Few Clouds
2025-03-23 18:00:00,15.49,64,1.48,Few Clouds
2025-03-23 21:00:00,18.92,48,2.33,Broken Clouds
2025-03-24 00:00:00,19.73,47,1.61,Broken Clouds
2025-03-24 03:00:00,12.17,81,0.5,Few Clouds
2025-03-24 06:00:00,11.03,84,1.12,Clear Sky
2025-03-24 09:00:00,10.49,82,0.33,Clear Sky
2025-03-24 12:00:00,10.59,83,1.5,Clear Sky
2025-03-24 15:00:00,11.4,84,1.49,Clear Sky
2025-03-24 18:00:00,18.69,62,2.26,Clear Sky
2025-03-24 21:00:00,22.49,54,2.11,Few Clouds
2025-03-25 00:00:00,22.33,58,2.28,Clear Sky
2025-03-25 03:00:00,15.85,86,1.64,Clear Sky
2025-03-25 06:00:00,14.31,88,1.04,Clear Sky
2025-03-25 09:00:00,13.41,87,0.79,Clear Sky
2025-03-25 12:00:00,12.62,86,1.24,Clear Sky
2025-03-25 15:00:00,13.76,83,1.2,Clear Sky
2025-03-25 18:00:00,21.75,57,0.85,Clear Sky
2025-03-25 21:00:00,25.58,46,1.35,Scattered Clouds
2025-03-26 00:00:00,23.7,51,1.82,Scattered Clouds
2025-03-26 03:00:00,15.06,82,0.81,Clear Sky
